trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
75 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
76 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	9 	0
77 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	6.5 	0
78 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	3 	0
79 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	3 	0
80 	12 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	6.5 	0
81 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	9 	0
82 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	9 	0
83 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	9 	0
84 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	3 	0
85 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	9 	0
86 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	9 	0
87 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
88 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
89 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
90 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	6.5 	0
91 	12 	10 	G 	B 	0.0 	8 	B 	G 	0.0 	[-1, 0] 	9 	0
92 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	6.5 	0
93 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	6.5 	0
94 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	9 	0
95 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
96 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	3 	0
97 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
98 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	6.5 	0
99 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
100 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	6.5 	0
101 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
102 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	1.5 	0
103 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	9 	0
104 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	6.5 	0
105 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	3 	0
106 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
107 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	3 	0
108 	12 	10 	G 	B 	0.0 	9 	B 	G 	0.0 	[-1, 0] 	6.5 	0
109 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	3 	0
110 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	1.5 	0
111 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
112 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	6.5 	0
113 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	6.5 	0
114 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	1.5 	0
115 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	6.5 	0
116 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	6.5 	0
117 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	9 	0
118 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	6.5 	0
119 	12 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[1, 0] 	1.5 	0
120 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	1.5 	0
