trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
77,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
78,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",3,0
79,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",6.5,0
80,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",3,0
81,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",6.5,0
82,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
83,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",3,0
84,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
85,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",6.5,0
86,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",9,0
87,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",1.5,0
88,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",9,0
89,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",6.5,0
90,23,10,B ,G ,0,14,G ,B ,0,"[1, 0] ",3,0
91,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",9,0
92,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
93,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",9,0
94,23,10,G ,B ,0,8,B ,G ,0,"[-1, 0] ",6.5,0
95,23,10,B ,G ,0,14,G ,B ,0,"[-1, 0] ",6.5,0
96,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",3,0
97,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",6.5,0
98,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
99,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",1.5,0
100,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
101,23,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",6.5,0
102,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",1.5,0
103,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",3,0
104,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",9,0
105,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",9,0
106,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",6.5,0
107,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",6.5,0
108,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
109,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
110,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",1.5,0
111,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",6.5,0
112,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",9,0
113,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",3,0
114,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
115,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",1.5,0
116,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",9,0
117,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
118,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",6.5,0
119,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
120,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
121,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",6.5,0
122,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
123,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",6.5,0
124,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",1.5,0
125,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",1.5,0
126,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",3,0
127,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
128,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",9,0
129,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",1.5,0
130,23,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",6.5,0
131,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
132,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",1.5,0
133,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",9,0
134,23,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",1.5,0
135,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
136,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
137,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",9,0
138,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",3,0
139,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",3,0
140,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",6.5,0
141,23,10,G ,B ,0,7,B ,G ,0,"[-1, 0] ",6.5,0
142,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",1.5,0
143,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",3,0
144,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",9,0
145,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",6.5,0
146,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
147,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
148,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",6.5,0
149,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",9,0
150,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",3,0
151,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",9,0
152,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",6.5,0
153,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
154,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
155,23,10,B ,G ,0,12,G ,B ,0,"[-1, 0] ",9,0
156,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
157,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",6.5,0
158,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
159,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",1.5,0
160,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",6.5,0
161,23,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",6.5,0
162,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",9,0
163,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",3,0
164,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",6.5,0
165,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",3,0
166,23,10,G ,B ,0,7,B ,G ,0,"[-1, 0] ",6.5,0
167,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
168,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",9,0
169,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",3,0
170,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",6.5,0
