trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
220 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	3 	0
221 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	6.5 	0
222 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	3 	0
223 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	6.5 	0
224 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	3 	0
225 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	6.5 	0
226 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
227 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	6.5 	0
228 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
229 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	6.5 	0
230 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
231 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	3 	0
232 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
233 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	1.5 	0
234 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
235 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	9 	0
236 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	6.5 	0
237 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	1.5 	0
238 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
239 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	6.5 	0
240 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
241 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	9 	0
242 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	3 	0
243 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	1.5 	0
244 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	9 	0
245 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	3 	0
246 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	3 	0
247 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	3 	0
248 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	3 	0
249 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	1.5 	0
250 	13 	10 	G 	B 	0.0 	7 	B 	G 	0.0 	[1, 0] 	6.5 	0
251 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	9 	0
252 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	9 	0
253 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	6.5 	0
254 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
255 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	6.5 	0
256 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	3 	0
257 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	6.5 	0
258 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	9 	0
259 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
260 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	1.5 	0
261 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
262 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	6.5 	0
263 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	9 	0
264 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	3 	0
265 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	3 	0
266 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	3 	0
267 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	6.5 	0
268 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	6.5 	0
269 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
270 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	9 	0
271 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	6.5 	0
272 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	9 	0
273 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	1.5 	0
274 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	3 	0
275 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
276 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
277 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
278 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	6.5 	0
279 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	9 	0
280 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	1.5 	0
281 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	1.5 	0
