experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,answerPos1,answer1,response1,correct1,responsePosRelative1,spatialPos,timingBlips
main,184,2, T1T2 ,0,8,9,9,1,-1007,16,0,1,0,-1015,"[-2, 0] ",0
main,185,2, T1T2 ,0,6,8,8,1,-1005,16,0,0,1,-1015,"[-2, 0] ",0
main,186,2, T1T2 ,0,6,0,0,1,-1005,7,9,9,1,-1006,"[-2, 0] ",0
main,187,2, T1T2 ,0,6,8,8,1,-1005,8,1,1,1,-1007,"[-2, 0] ",0
main,188,2, T1T2 ,0,6,8,8,1,-1005,11,7,7,1,-1010,"[-2, 0] ",0
main,189,2, T1T2 ,0,6,5,8,0,-1005,14,8,5,0,-1013,"[-2, 0] ",0
main,190,2, T1T2 ,0,14,3,1,0,-1013,24,2,3,0,-1023,"[-2, 0] ",0
main,191,2, T1T2 ,0,14,2,2,1,-1013,15,0,0,1,-1014,"[-2, 0] ",0
main,192,2, T1T2 ,0,14,3,3,1,-1013,16,1,1,1,-1015,"[-2, 0] ",0
main,193,2, T1T2 ,0,14,4,2,0,-1013,19,7,4,0,-1018,"[-2, 0] ",0
main,194,2, T1T2 ,0,14,2,2,1,-1013,22,1,1,1,-1021,"[-2, 0] ",0
main,195,2, T1T2 ,0,10,8,4,0,-1009,20,1,8,0,-1019,"[-2, 0] ",0
main,196,2, T1T2 ,0,10,9,9,1,-1009,11,7,7,1,-1010,"[-2, 0] ",0
main,197,2, T1T2 ,0,10,8,6,0,-1009,12,6,8,0,-1011,"[-2, 0] ",0
main,198,2, T1T2 ,0,10,6,5,0,-1009,15,9,6,0,-1014,"[-2, 0] ",0
main,199,2, T1T2 ,0,10,8,8,1,-1009,18,7,7,1,-1017,"[-2, 0] ",0
main,200,2, T1T2 ,0,8,8,8,1,-1007,18,4,4,1,-1017,"[6, 0] ",1
main,201,2, T1T2 ,0,8,7,7,1,-1007,9,0,0,1,-1008,"[6, 0] ",0
main,202,2, T1T2 ,0,8,8,8,1,-1007,10,7,7,1,-1009,"[6, 0] ",0
main,203,2, T1T2 ,0,8,2,2,1,-1007,13,0,7,0,-1012,"[6, 0] ",0
main,204,2, T1T2 ,0,8,0,0,1,-1007,16,8,8,1,-1015,"[6, 0] ",0
main,205,2, T1T2 ,0,6,6,6,1,-1005,16,3,3,1,-1015,"[6, 0] ",0
main,206,2, T1T2 ,0,6,6,2,0,-1005,7,3,7,0,-1006,"[6, 0] ",0
main,207,2, T1T2 ,0,6,1,1,1,-1005,8,9,3,0,-1007,"[6, 0] ",0
main,208,2, T1T2 ,0,6,2,2,1,-1005,11,8,7,0,-1010,"[6, 0] ",0
main,209,2, T1T2 ,0,6,0,0,1,-1005,14,2,2,1,-1013,"[6, 0] ",0
main,210,2, T1T2 ,0,14,0,9,0,-1013,24,1,2,0,-1023,"[6, 0] ",0
main,211,2, T1T2 ,0,14,0,6,0,-1013,15,8,8,1,-1014,"[6, 0] ",1
main,212,2, T1T2 ,0,14,7,8,0,-1013,16,9,9,1,-1015,"[6, 0] ",0
main,213,2, T1T2 ,0,14,4,4,1,-1013,19,2,2,1,-1018,"[6, 0] ",0
main,214,2, T1T2 ,0,14,2,2,1,-1013,22,0,0,1,-1021,"[6, 0] ",0
main,215,2, T1T2 ,0,10,3,3,1,-1009,20,2,2,1,-1019,"[6, 0] ",0
main,216,2, T1T2 ,0,10,9,9,1,-1009,11,1,1,1,-1010,"[6, 0] ",0
main,217,2, T1T2 ,0,10,5,4,0,-1009,12,9,5,0,-1011,"[6, 0] ",0
main,218,2, T1T2 ,0,10,1,1,1,-1009,15,7,7,1,-1014,"[6, 0] ",0
main,219,2, T1T2 ,0,10,1,1,1,-1009,18,0,4,0,-1017,"[6, 0] ",0
main,220,2, T1T2 ,0,8,8,8,1,-1007,18,3,7,0,-1017,"[-6, 0] ",0
main,221,2, T1T2 ,0,8,5,8,0,-1007,9,8,0,0,-1008,"[-6, 0] ",0
main,222,2, T1T2 ,0,8,4,4,1,-1007,10,3,3,1,-1009,"[-6, 0] ",0
main,223,2, T1T2 ,0,8,0,0,1,-1007,13,7,7,1,-1012,"[-6, 0] ",1
main,224,2, T1T2 ,0,8,3,3,1,-1007,16,2,4,0,-1015,"[-6, 0] ",0
main,225,2, T1T2 ,0,6,1,1,1,-1005,16,9,9,1,-1015,"[-6, 0] ",0
main,226,2, T1T2 ,0,6,1,1,1,-1005,7,3,3,1,-1006,"[-6, 0] ",0
main,227,2, T1T2 ,0,6,9,0,0,-1005,8,0,9,0,-1007,"[-6, 0] ",0
main,228,2, T1T2 ,0,6,6,6,1,-1005,11,9,9,1,-1010,"[-6, 0] ",0
main,229,2, T1T2 ,0,6,2,2,1,-1005,14,5,5,1,-1013,"[-6, 0] ",0
main,230,2, T1T2 ,0,14,9,9,1,-1013,24,3,3,1,-1023,"[-6, 0] ",0
main,231,2, T1T2 ,0,14,6,1,0,-1013,15,1,6,0,-1014,"[-6, 0] ",0
main,232,2, T1T2 ,0,14,9,3,0,-1013,16,6,9,0,-1015,"[-6, 0] ",0
main,233,2, T1T2 ,0,14,0,0,1,-1013,19,8,8,1,-1018,"[-6, 0] ",0
main,234,2, T1T2 ,0,14,9,3,0,-1013,22,4,4,1,-1021,"[-6, 0] ",1
main,235,2, T1T2 ,0,10,1,1,1,-1009,20,4,4,1,-1019,"[-6, 0] ",0
main,236,2, T1T2 ,0,10,4,4,1,-1009,11,7,7,1,-1010,"[-6, 0] ",0
main,237,2, T1T2 ,0,10,8,8,1,-1009,12,1,1,1,-1011,"[-6, 0] ",0
main,238,2, T1T2 ,0,10,5,5,1,-1009,15,4,4,1,-1014,"[-6, 0] ",0
main,239,2, T1T2 ,0,10,3,3,1,-1009,18,8,8,1,-1017,"[-6, 0] ",0
main,240,2, T1T2 ,0,8,0,0,1,-1007,18,5,5,1,-1017,"[2, 0] ",0
main,241,2, T1T2 ,0,8,4,1,0,-1007,9,1,4,0,-1008,"[2, 0] ",0
main,242,2, T1T2 ,0,8,3,3,1,-1007,10,6,6,1,-1009,"[2, 0] ",0
main,243,2, T1T2 ,0,8,1,1,1,-1007,13,9,4,0,-1012,"[2, 0] ",0
main,244,2, T1T2 ,0,8,5,5,1,-1007,16,7,7,1,-1015,"[2, 0] ",0
main,245,2, T1T2 ,0,6,8,8,1,-1005,16,0,0,1,-1015,"[2, 0] ",0
main,246,2, T1T2 ,0,6,3,3,1,-1005,7,0,4,0,-1006,"[2, 0] ",1
main,247,2, T1T2 ,0,6,8,8,1,-1005,8,9,9,1,-1007,"[2, 0] ",0
main,248,2, T1T2 ,0,6,1,1,1,-1005,11,4,4,1,-1010,"[2, 0] ",0
main,249,2, T1T2 ,0,6,7,7,1,-1005,14,3,3,1,-1013,"[2, 0] ",0
main,250,2, T1T2 ,0,14,0,5,0,-1013,24,4,4,1,-1023,"[2, 0] ",0
main,251,2, T1T2 ,0,14,7,5,0,-1013,15,5,7,0,-1014,"[2, 0] ",0
main,252,2, T1T2 ,0,14,4,6,0,-1013,16,9,7,0,-1015,"[2, 0] ",0
main,253,2, T1T2 ,0,14,7,5,0,-1013,19,3,4,0,-1018,"[2, 0] ",0
main,254,2, T1T2 ,0,14,1,1,1,-1013,22,0,0,1,-1021,"[2, 0] ",0
main,255,2, T1T2 ,0,10,9,4,0,-1009,20,5,5,1,-1019,"[2, 0] ",0
main,256,2, T1T2 ,0,10,7,7,1,-1009,11,6,6,1,-1010,"[2, 0] ",0
main,257,2, T1T2 ,0,10,9,9,1,-1009,12,1,1,1,-1011,"[2, 0] ",1
main,258,2, T1T2 ,0,10,2,2,1,-1009,15,7,7,1,-1014,"[2, 0] ",0
main,259,2, T1T2 ,0,10,7,4,0,-1009,18,9,7,0,-1017,"[2, 0] ",0
main,260,2, T1T2 ,0,8,1,1,1,-1007,18,4,4,1,-1017,"[-2, 0] ",0
main,261,2, T1T2 ,0,8,1,1,1,-1007,9,4,4,1,-1008,"[-2, 0] ",0
main,262,2, T1T2 ,0,8,2,2,1,-1007,10,9,7,0,-1009,"[-2, 0] ",0
main,263,2, T1T2 ,0,8,6,6,1,-1007,13,0,0,1,-1012,"[-2, 0] ",0
